# eV, DoS
0.000000000000000000e+00 0.000000000000000000e+00
3.891643966065747875e-04 0.000000000000000000e+00
7.783287932131495749e-04 0.000000000000000000e+00
1.167493189819724525e-03 0.000000000000000000e+00
1.556657586426299150e-03 0.000000000000000000e+00
1.945821983032873992e-03 0.000000000000000000e+00
2.334986379639449050e-03 0.000000000000000000e+00
2.724150776246023892e-03 0.000000000000000000e+00
3.113315172852598300e-03 0.000000000000000000e+00
3.502479569459173141e-03 0.000000000000000000e+00
3.891643966065747983e-03 0.000000000000000000e+00
4.280808362672322391e-03 0.000000000000000000e+00
4.669972759278898100e-03 0.000000000000000000e+00
5.059137155885472074e-03 0.000000000000000000e+00
5.448301552492047783e-03 0.000000000000000000e+00
5.837465949098621758e-03 0.000000000000000000e+00
6.226630345705196599e-03 0.000000000000000000e+00
6.615794742311772308e-03 0.000000000000000000e+00
7.004959138918346283e-03 0.000000000000000000e+00
7.394123535524921992e-03 0.000000000000000000e+00
7.783287932131495966e-03 0.000000000000000000e+00
8.172452328738071675e-03 0.000000000000000000e+00
8.561616725344644782e-03 0.000000000000000000e+00
8.950781121951219624e-03 0.000000000000000000e+00
9.339945518557796200e-03 0.000000000000000000e+00
9.729109915164371042e-03 0.000000000000000000e+00
1.011827431177094415e-02 0.000000000000000000e+00
1.050743870837752073e-02 0.000000000000000000e+00
1.089660310498409557e-02 0.000000000000000000e+00
1.128576750159066867e-02 0.000000000000000000e+00
1.167493189819724352e-02 0.000000000000000000e+00
1.206409629480382009e-02 0.000000000000000000e+00
1.245326069141039320e-02 0.000000000000000000e+00
1.284242508801696804e-02 0.000000000000000000e+00
1.323158948462354462e-02 0.000000000000000000e+00
1.362075388123011946e-02 0.000000000000000000e+00
1.400991827783669257e-02 0.000000000000000000e+00
1.439908267444326741e-02 0.000000000000000000e+00
1.478824707104984398e-02 0.000000000000000000e+00
1.517741146765641709e-02 0.000000000000000000e+00
1.556657586426299193e-02 0.000000000000000000e+00
1.595574026086956851e-02 0.000000000000000000e+00
1.634490465747614335e-02 0.000000000000000000e+00
1.673406905408271819e-02 0.000000000000000000e+00
1.712323345068928956e-02 0.000000000000000000e+00
1.751239784729586441e-02 0.000000000000000000e+00
